blocking
"CI_c__Tr_has_wiki_link_on_r_All_ugc_val_est2_trim0_samples0,1,2.txt"
Est.,S.e.,z,P>|z|,[95% Conf. int.]
20.9519895024,1.622118194,12.9164382595,0.0,17.7726378422,24.1313411627
-4.61822106477,0.386550199827,-11.9472737741,0.0,-5.37585945643,-3.86058267311
13.5508574101,1.45867391297,9.28984695595,0.0,10.6918565407,16.4098582795
-5.28836302125,0.369196770832,-14.3239687859,0.0,-6.01198869208,-4.56473735042
150.573789744,9.47303316601,15.8949923541,0.0,132.006644739,169.14093475
7.11849782269,1.91168045637,3.72368603705,0.000196335063377,3.3716041282,10.8653915172
blocking
"CI_bad__Tr_has_wiki_link_on_r_All_ugc_val_est2_trim0_samples0,1,2.txt"
Est.,S.e.,z,P>|z|,[95% Conf. int.]
8.30646098115,1.39101087102,5.97152844325,2.35041075491e-09,5.58007967395,11.0328422883
-6.79700077415,0.41975462215,-16.1927955417,0.0,-7.61971983357,-5.97428171474
7.02579723304,1.34743984968,5.21418246218,1.84629670441e-07,4.38481512767,9.66677933841
-6.87842495711,0.416180655752,-16.5274980037,0.0,-7.69413904238,-6.06271087183
100.841934554,11.3975162428,8.84771141412,0.0,78.5028027179,123.18106639
-0.913625578404,2.52660479649,-0.361602091342,0.71764940162,-5.86577097952,4.03851982271
