blocking
"CI_c__Tr_has_wiki_link_on_s_All_ugc_val_est2_trim0_samples0,1,2.txt"
Est.,S.e.,z,P>|z|,[95% Conf. int.]
1.14973016782,0.18603942642,6.18003500626,6.40873798474e-10,0.78509289204,1.51436744361
-0.0243889376485,0.0301969776642,-0.80766154546,0.41928544639,-0.0835750138702,0.0347971385733
6286.93911174,1206.22957829,5.21205848779,1.86756645038e-07,3922.72913829,8651.14908518
0.968281182159,0.149338373615,6.48380693266,8.94366802839e-11,0.675577969873,1.26098439445
-0.0258526021422,0.0315352835213,-0.819799261508,0.412330552127,-0.0876617578439,0.0359565535595
6403.93534347,1259.55770351,5.08427309492,3.69036642134e-07,3935.20224459,8872.66844235
4.46093388083,1.563579135,2.85302725073,0.00433049078546,1.39631877624,7.52554898543
0.00232100117257,0.0221271827334,0.104893659556,0.916460190156,-0.041048276985,0.0456902793301
4151.9128094,535.413845731,7.75458618134,8.881784197e-15,3102.50167177,5201.32394703
blocking
"CI_bad__Tr_has_wiki_link_on_s_All_ugc_val_est2_trim0_samples0,1,2.txt"
Est.,S.e.,z,P>|z|,[95% Conf. int.]
0.788103947854,0.248335943668,3.17353958598,0.00150592364557,0.301365498264,1.27484239744
0.0531974059257,0.0733532072084,0.725222631024,0.468315461254,-0.0905748802028,0.196969692054
1016.19716225,879.861702894,1.15495100981,0.24811048881,-708.331775424,2740.72609992
0.755746468001,0.24985029204,3.02479721689,0.00248799879725,0.266039895603,1.2454530404
0.0545016888011,0.0745060679732,0.731506711919,0.464469706337,-0.0915302044264,0.200533582029
992.602012713,888.923381447,1.1166339343,0.264150876122,-749.687814923,2734.89184035
2.62985724407,0.649491190526,4.04910379452,5.14141401089e-05,1.35685451064,3.9028599775
-0.0210409864282,0.0280667910073,-0.749675530157,0.453450148561,-0.0760518968024,0.0339699239461
2359.20794765,735.853406659,3.20608415522,0.00134554630833,916.935270602,3801.48062471
blocking
"CI_c__Tr_has_wiki_link_on_s_All_ugc_val_est2_trims_samples0,1,2.txt"
Est.,S.e.,z,P>|z|,[95% Conf. int.]
1.7379465096,0.340318615313,5.10682175877,3.27622515783e-07,1.07092202358,2.40497099561
-0.0465530400719,0.0210094660268,-2.21581262524,0.0267043374401,-0.0877315934845,-0.00537448665925
5155.47114171,803.708654476,6.41460199912,1.41191280889e-10,3580.20217894,6730.74010448
1.45741305701,0.253524159531,5.7486160676,8.99768703988e-09,0.960505704325,1.95432040969
-0.0496037647639,0.0220905402841,-2.24547539925,0.0247376297943,-0.0929012237207,-0.00630630580717
5368.90989807,861.244464974,6.23389771014,4.5497028367e-10,3680.87074672,7056.94904942
3.97348742133,1.56184917523,2.54409163468,0.0109562338011,0.912263037877,7.03471180478
-0.0222421431125,0.0241751313944,-0.920042284349,0.357550663016,-0.0696254006456,0.0251411144205
3454.60064803,559.215461529,6.17758428672,6.50898224208e-10,2358.53834344,4550.66295263
blocking
"CI_bad__Tr_has_wiki_link_on_s_All_ugc_val_est2_trims_samples0,1,2.txt"
Est.,S.e.,z,P>|z|,[95% Conf. int.]
1.14081338844,0.294100182071,3.87899585917,0.000104888540149,0.564377031576,1.7172497453
-0.0289703425503,0.0364025871868,-0.795831966602,0.426129708903,-0.100319413436,0.0423787283359
2847.80884629,1026.45529926,2.77441097372,0.00553017677614,835.956459748,4859.66123283
1.0707543202,0.291172382836,3.67738969533,0.000235632916583,0.500056449846,1.64145219056
-0.0288419111408,0.0371474398208,-0.77641719806,0.437502693374,-0.10165089319,0.043967070908
2865.41580274,1047.80255775,2.73469059752,0.00624389354296,811.722789549,4919.10881593
2.77503470615,0.754003568108,3.68039996563,0.000232868402313,1.29718771266,4.25288169964
-0.0319661766742,0.031516948042,-1.01425355753,0.310461778633,-0.0937393948364,0.0298070414881
2437.10307626,831.928641553,2.9294616804,0.00339549676441,806.522938812,4067.6832137
