,basic,,,,,,,,,,,,central_tendencies,,,,,,dispersion,,,,,,Hypothesis Testing,,,,,,
,"Treatment, num_items","Treatment, sum","Treatment, percent_of_total_items","Treatment, percent_of_total_sum","Control, num_items","Control, sum","Control, percent_of_total_items","Control, percent_of_total_sum","All groups, num_items","All groups, sum","All groups, percent_of_total_items","All groups, percent_of_total_sum","Treatment, mean","Treatment, median","Control, mean","Control, median","All groups, mean","All groups, median","Treatment, range","Treatment, standard deviation","Control, range","Control, standard deviation","All groups, range","All groups, standard deviation","Treatment vs Control, Difference","Treatment vs Control, p_value","Treatment vs Control, percent_bias","Treatment vs Control, cohen's d effect size","Treatment vs Control, CLES","Treatment vs Control, CLES flipped (treatment=lesser)","Treatment vs Control, Wilcoxon rank-sum statistic"
Variable `score` in subset `All`,180,38368,25.604551920341397,45.1579492491,523,46596,74.3954480796586,54.8420507509,703,84964.0,100.0,100.0,213.155555556,2.0,89.0936902486,2.0,120.859174964,2.0,5836,864.486320322,4924,452.908380119,5836.0,588.972354137,124.061865307,0.0678094752731,17.9775017221,0.211537070822,0.4155406840875292,0.4287338007223285,"RanksumsResult(statistic=-0.26424622799100528, pvalue=0.79159019178191958)"
Variable `num_comments` in subset `All`,180,3949,25.604551920341397,46.4916411585,523,4545,74.3954480796586,53.5083588415,703,8494.0,100.0,100.0,21.9388888889,1.0,8.69024856597,1.0,12.0825035562,1.0,707,88.2393313595,544,36.0686571847,707.0,54.7256602275,13.2486403229,0.0521430444586,19.6549975424,0.243454715011,0.423337582324198,0.3832058636073932,"RanksumsResult(statistic=0.80380213313205962, pvalue=0.42151125764134456)"
Variable `day_of_week` in subset `All`,180,542,25.604551920341397,25.4340685124,523,1589,74.3954480796586,74.5659314876,703,2131.0,100.0,100.0,3.01111111111,3.0,3.03824091778,3.0,3.03129445235,3.0,6,1.95785849247,6,1.96782687336,6.0,1.96531499944,-0.0271298066709,0.873163549812,-1.38216472682,-0.0138045550368,0.4215742511153601,0.4326216273635012,"RanksumsResult(statistic=-0.22126898318087398, pvalue=0.82488299926894537)"
Variable `day_of_month` in subset `All`,180,2789,25.604551920341397,24.9977592543,523,8368,74.3954480796586,75.0022407457,703,11157.0,100.0,100.0,15.4944444444,17.0,16.0,16.0,15.8705547653,16.0,30,8.13736049358,30,8.86503864255,30.0,8.68733160514,-0.505555555556,0.483940748441,-5.94143414006,-0.0582133530732,0.46955598045464203,0.500584236243892,"RanksumsResult(statistic=-0.62146798064551245, pvalue=0.53429175560098741)"
Variable `hour` in subset `All`,180,2129,25.604551920341397,25.4057279236,523,6251,74.3954480796586,74.5942720764,703,8380.0,100.0,100.0,11.8277777778,12.0,11.9521988528,13.0,11.920341394,13.0,23,7.36872562143,23,6.83761458233,23.0,6.97766596783,-0.124421074995,0.842796203511,-1.75040459584,-0.0178318715172,0.47394306352241344,0.4805821117484597,"RanksumsResult(statistic=-0.13297414854619832, pvalue=0.89421382538437766)"
Variable `seconds_since_user_creation` in subset `All`,180,4695767713,25.604551920341397,22.1464949575,523,16507441743,74.3954480796586,77.8535050425,703,21203209456.0,100.0,100.0,26087598.4056,0.0,31562986.1243,0.0,30161037.633,0.0,171604675,45555951.3864,249696874,51685039.6794,249696874.0,50243918.0653,-5475387.71873,0.181317781632,-11.2391775133,-0.109099600533,0.2765349479498619,0.3307308264287232,"RanksumsResult(statistic=-1.0854945694123261, pvalue=0.27770266762021467)"
Variable `score` in subset `TIL`,2732,1075066,13.988019046643796,19.4358560309,16799,4456288,86.0119809533562,80.5641439691,19531,5531354.0,100.0,100.0,393.508784773,4.0,265.271028037,3.0,283.208949875,3.0,53983,2297.82091923,68543,1527.03589816,68543.0,1657.16743164,128.237756736,0.0048761601352,6.57334862705,0.0774115969284,0.4445393545962481,0.42986407543431654,"RanksumsResult(statistic=1.2321276496887847, pvalue=0.21790140432561145)"
Variable `num_comments` in subset `TIL`,2732,102654,13.988019046643796,17.0335979398,16799,500002,86.0119809533562,82.9664020602,19531,602656.0,100.0,100.0,37.574670571,2.0,29.763795464,1.0,30.8563821617,1.0,3720,199.124555228,8533,192.569691749,8533.0,193.518911751,7.81087510699,0.0562313716345,3.98769279144,0.0403662910004,0.46842204666543547,0.3982941622143896,"RanksumsResult(statistic=5.8878951802468382, pvalue=3.9114505460738418e-09)"
Variable `day_of_week` in subset `TIL`,2732,7791,13.988019046643796,13.8891860092,16799,48303,86.0119809533562,86.1108139908,19531,56094.0,100.0,100.0,2.85175695461,3.0,2.8753497232,3.0,2.87204956223,3.0,6,1.90734896535,6,1.96063683801,6.0,1.95328751885,-0.0235927685858,0.550442315025,-1.21978369091,-0.0120785984745,0.42510136427454154,0.43046756338856884,"RanksumsResult(statistic=-0.45054286389862747, pvalue=0.65231905425784475)"
