,basic,,,,,,,,,,,,central_tendencies,,,,,,dispersion,,,,,,Hypothesis Testing,,,,,,
,"Treatment, num_items","Treatment, sum","Treatment, percent_of_total_items","Treatment, percent_of_total_sum","Control, num_items","Control, sum","Control, percent_of_total_items","Control, percent_of_total_sum","All groups, num_items","All groups, sum","All groups, percent_of_total_items","All groups, percent_of_total_sum","Treatment, mean","Treatment, median","Control, mean","Control, median","All groups, mean","All groups, median","Treatment, range","Treatment, standard deviation","Control, range","Control, standard deviation","All groups, range","All groups, standard deviation","Treatment vs Control, Difference","Treatment vs Control, p_value","Treatment vs Control, percent_bias","Treatment vs Control, cohen's d effect size","Treatment vs Control, CLES","Treatment vs Control, CLES flipped (treatment=lesser)","Treatment vs Control, Wilcoxon rank-sum statistic"
Variable `score` in subset `All SO`,12232,67973,1.2735962017013212,2.6950900141,948198,2454132,98.72640379829868,97.3049099859,960430,2522105.0,100.0,100.0,5.55698168738,1.0,2.58820626072,1.0,2.62601647179,1.0,3636,51.893091323,14924,28.5362517108,14924.0,28.9543424264,2.96877542666,2.79966955775e-10,7.08943169567,0.102539771782,0.5147414996108463,0.2951669610379922,"RanksumsResult(statistic=41.793406885701131, pvalue=0.0)"
Variable `num_comments` in subset `All SO`,12232,21020,1.2735962017013212,1.53730150198,948198,1346311,98.72640379829868,98.462698498,960430,1367331.0,100.0,100.0,1.71844342708,1.0,1.41986272909,1.0,1.42366544152,1.0,47,2.69522746278,89,2.30520142601,89.0,2.31082528218,0.298580697984,5.20525462939e-34,11.9060416593,0.129223115346,0.38618685435610445,0.32834591706982474,"RanksumsResult(statistic=11.009335792609365, pvalue=3.4453431548293614e-28)"
Variable `day_of_week` in subset `All SO`,12232,33010,1.2735962017013212,1.32613846637,948198,2456172,98.72640379829868,98.6738615336,960430,2489182.0,100.0,100.0,2.69865925441,3.0,2.5903577101,2.0,2.59173703445,2.0,6,1.88491780764,6,1.82152593072,6.0,1.82238761472,0.108301544316,2.76695172489e-10,5.84310543291,0.0594296999181,0.4401987374568641,0.4095245962583302,"RanksumsResult(statistic=5.838458649678179, pvalue=5.268595479584371e-09)"
Variable `day_of_month` in subset `All SO`,12232,191361,1.2735962017013212,1.26782782463,948198,14902250,98.72640379829868,98.7321721754,960430,15093611.0,100.0,100.0,15.644293656,16.0,15.7163904585,16.0,15.7154722364,16.0,30,8.69233461021,30,8.73782341879,30.0,8.73724930414,-0.0720968025486,0.362113881052,-0.827262230288,-0.00825166261161,0.4813701582420279,0.4861279495004542,"RanksumsResult(statistic=-0.90558908711843278, pvalue=0.36515338705664124)"
Variable `hour` in subset `All SO`,12232,156285,1.2735962017013212,1.29100831727,948198,11949369,98.72640379829868,98.7089916827,960430,12105654.0,100.0,100.0,12.7767331589,13.0,12.6021875178,13.0,12.6044105245,13.0,23,6.29316525257,23,6.12914924314,23.0,6.13129696821,0.17454564113,0.00230230512851,2.80995025642,0.0284681253185,0.48769508651246024,0.4675022144445051,"RanksumsResult(statistic=3.843473492018497, pvalue=0.00012130510727152889)"
Variable `seconds_since_user_creation` in subset `All SO`,12232,757287521967,1.2735962017013212,1.34010200919,948198,55752404783094,98.72640379829868,98.6598979908,960430,5.65096923051e+13,100.0,100.0,61910359.873,47943023.5,58798272.9167,44515618.5,58837908.338,44570658.0,371499669,55040418.7065,433879362,54508150.5683,433879362.0,54516079.0979,3112086.95631,5.32891473002e-10,5.68158989839,0.0570868405927,0.520491363373285,0.47928376513935517,"RanksumsResult(statistic=7.843377155506162, pvalue=4.3858816612870123e-15)"
Variable `body_length` in subset `All SO`,12232,15985360,1.2735962017013212,2.19492710699,948198,712301240,98.72640379829868,97.805072893,960430,728286600.0,100.0,100.0,1306.84761282,889.0,751.215716549,508.0,758.292223275,512.0,29721,1486.07673725,30000,906.246105166,30000.0,918.057976217,555.63189627,0.0,45.1441954779,0.606623868034,0.6839613232126068,0.3155078500933065,"RanksumsResult(statistic=70.130744760350964, pvalue=0.0)"
Variable `body_percent_uppercase` in subset `All SO`,12232,36049,1.2735962017013212,1.01278191517,948198,3523355,98.72640379829868,98.9872180848,960430,3559404.0,100.0,100.0,2.9471059516,2.0,3.7158431045,3.0,3.70605249732,3.0,33,2.16217818768,82,3.88376069247,82.0,3.8676173998,-0.768737152897,6.45061226919e-308,-24.4576460873,-0.198811846643,0.3844431552814943,0.4499244663593903,"RanksumsResult(statistic=-12.463590246278278, pvalue=1.1793900317823051e-35)"
Variable `body_percent_spaces` in subset `All SO`,12232,150786,1.2735962017013212,1.16703943675,948198,12769600,98.72640379829868,98.8329605633,960430,12920386.0,100.0,100.0,12.3271746239,12.0,13.4672294183,13.0,13.4527097238,13.0,57,3.71251316746,91,5.36622264818,91.0,5.34990424257,-1.14005479439,3.54723061792e-236,-24.708278441,-0.213159032215,0.39852272170814645,0.5280995639036468,"RanksumsResult(statistic=-24.663413727470953, pvalue=2.642339174658592e-134)"
Variable `body_percent_punctuation` in subset `All SO`,12232,23236,1.2735962017013212,1.2975713815,948198,1767494,98.72640379829868,98.7024286185,960430,1790730.0,100.0,100.0,1.89960758666,2.0,1.86405581957,2.0,1.86450860552,2.0,14,0.707726102252,76,1.08082794771,76.0,1.07689650115,0.0355517670928,4.4861872693e-08,3.8917015501,0.0330133960447,0.35308791223702757,0.28641850582046047,"RanksumsResult(statistic=12.689730090318569, pvalue=6.7417714985168298e-37)"
Variable `body_starts_capitalized` in subset `All SO`,12232,10571,1.2735962017013212,1.29329751104,948198,806797,98.72640379829868,98.706702489,960430,817368.0,100.0,100.0,0.864208633094,1.0,0.850873973579,1.0,0.851043803296,1.0,True,0.342566886287,True,0.356212653712,1.0,0.356045289489,0.0133346595142,1.9234528005e-05,3.81582943967,0.0374524744447,0.12887599945165204,0.11554133993748475,"RanksumsResult(statistic=2.5380941450685026, pvalue=0.011145799668698437)"
Variable `body_coleman_liau_index` in subset `All SO`,12232,192945,1.2735962017013212,1.33014109581,948198,14312659,98.72640379829868,98.6698589042,960430,14505604.0,100.0,100.0,15.7737900589,16.0,15.0945888939,16.0,15.1032391741,16.0,13,0.831301719275,16,2.10913539967,16.0,2.09914235253,0.679201164981,0.0,42.3694049271,0.323774443493,0.20030439617568982,0.07926569028762556,"RanksumsResult(statistic=23.038280836100434, pvalue=1.9279168744245569e-117)"
Variable `user_reputation` in subset `All SO`,12232,633595153,1.2735962017013212,1.93518035395,948198,32107288750,98.72640379829868,98.0648196461,960430,32740883903.0,100.0,100.0,51798.1648954,11944.5,33861.3757359,3423.0,34089.8180013,3483.0,952299,108481.751379,952299,94706.8396058,952299.0,94916.1606349,17936.7891595,4.80593017601e-73,17.6148788326,0.189017523078,0.6352440965053521,0.3644999582982347,"RanksumsResult(statistic=51.532932750552824, pvalue=0.0)"
